Protein	S0	S0	S0	S1	S1	S1	BayesFactor	FoldChange	RBstat	FDR	FLAG
Q15942	0	0	0	0	0	0	1.000	0.025	0.035	1.00000	
Q9BUL8	0	0	0	0	0	0	1.000	0.025	0.046	1.00000	
E9PC16	0	0	0	0	0	0	1.000	0.025	0.005	1.00000	
P18085	7527000	7354300	6218500	5071900	3495800	4739100	inf	-0.483	54632160331710772128510516720637557638211240460288.000	0.00000	
P12318	0	0	0	0	0	0	1.000	0.025	0.023	1.00000	
D3DQ70	0	0	0	0	0	181280	0.232	4.054	16666666666666962168450290488880117277286150963200.000	1.00000	
Q53F37	0	0	0	0	0	0	1.000	0.025	0.046	1.00000	
D6W4Z6	1370900	1373500	1233400	800030	696130	1221900	4797006679349917923603006897560488904404879888427843644082665599226060065521157465050721988431068572171320429548337434188825550635131403410455408373383434527833759239242350428769946971838681274334455005184.000	-0.439	16709234948259997639300311098852616711061788164096.000	0.00000	
P15924	0	0	0	0	0	0	1.000	0.025	0.014	1.00000	
E2QRA8	0	0	0	0	0	0	1.000	0.025	0.016	1.00000	
E5KN55	0	0	0	0	0	0	1.000	0.025	0.035	1.00000	
E7ETK2	0	0	0	0	0	0	1.000	0.025	0.010	1.00000	
Q8TAT6-2	816100	1191100	389660	303350	0	0	inf	-6.844	49999999999999380739261896366628077987922979061760.000	0.00000	
Q9H0U4	15600000	16600000	14000000	6686500	6534400	5430400	inf	-0.912	55888747844044442071554915492063684859824225386496.000	0.00000	
E9KL23	1196500	0	0	731330	0	0	47499.806	-0.023	33333333333333924336900580977760234554572301926400.000	0.00000	*
E9KL35	7051000	7414300	9873500	4798100	4842600	4503000	inf	-0.519	33286511900867464350930526655792557399440101474304.000	0.00000	
E9KL39	10100000	9778700	8597400	5759400	4165800	6351000	inf	-0.590	62948730155702202831198149889834200843952257499136.000	0.00000	
P37235	0	0	0	0	0	76806	153.832	3.710	16666666666666962168450290488880117277286150963200.000	0.00000	
E9PDH9	789120	811600	466560	0	332980	0	inf	-6.578	33333351248161122777684887855615938429503710167040.000	0.00000	
Q15046-2	0	0	0	0	0	0	1.000	0.025	0.036	1.00000	
Q8WUD1	794930	860200	572810	0	0	0	inf	-7.563	16671739783318740810376684469384005927667486425088.000	0.00000	
Q9UHX1	0	0	0	49865	0	0	14.789	4.448	16666666666666962168450290488880117277286150963200.000	0.00000	
E9PK25	5682500	5493200	5408000	3529100	2551800	2571800	inf	-0.683	16666666666667003706825158767501145521256784723968.000	0.00000	
O14737	2142100	1530400	3094400	457000000	488000000	407000000	inf	5.124	68676497733769986918676125616474002665536745373696.000	0.00000	
O43175	2265000	1886800	1529100	1038500	1030800	954760	inf	-0.611	33333333333333924336900580977760234554572301926400.000	0.00000	
O60493	1147000	1297900	1052200	541670	0	0	inf	-6.248	29372918947096749992053133877089381723105990279168.000	0.00000	
O60664	7368000	7247500	7819800	4234500	4447100	3112000	inf	-0.672	39601235850715882349496851133127926335962328596480.000	0.00000	
O75340	0	0	0	0	157040	0	0.214	4.131	16666666666666962168450290488880117277286150963200.000	1.00000	
P04632	7669800	7813800	9810200	3620800	3328300	3947000	inf	-0.834	35884599993360441936198759705388166317026939240448.000	0.00000	
P04792	11600000	10300000	7972700	6745100	6949000	5823200	inf	-0.408	51180618924695772511838833540799068746006285778944.000	0.00000	
P05109	0	0	0	0	0	0	1.000	0.025	0.021	1.00000	
P05198	797210	894290	1117400	972550	765170	668020	244553045603820588268257280.000	-0.160	33333333607504841892264781108452187363920060612608.000	0.00000	*
P05387	3363800	2807000	2574000	1647800	2061500	1292400	inf	-0.587	53653858587254149001496511374745663031524039065600.000	0.00000	
P06733	1099900	1034500	1206800	0	691310	662350	inf	-5.118	50000000000000097276228374172840815196416411435008.000	0.00000	
P07355-2	42800000	39900000	38000000	17900000	16700000	17300000	inf	-0.843	44302943932664095757651118728857752733993102475264.000	0.00000	
P07384	2894900	2823400	3425100	1045600	983840	723220	inf	-1.224	33335588382674787985700470733344071731083837702144.000	0.00000	
P07437	23900000	25300000	24500000	7902000	7262200	9093100	inf	-1.127	47838816062114643175722396196983661791576363892736.000	0.00000	
P07737	1409100	1540700	0	866250	961770	828460	inf	4.921	49999999999999432662230481714904363292886271262720.000	0.00000	
P07900-2	0	0	0	0	0	0	1.000	0.025	0.026	1.00000	
P08758	850110	658370	542090	320980	293530	618820	30675029948889759829203936794719392652606165950155781315276024684197408897509833315783898362093248502284711286761650771349373053056028077153320960.000	-0.585	34648041886533872772762081559931055434428296724480.000	0.00000	
P09211	6221700	5749200	5390900	5594900	5155400	3979100	138633424743314169638299297743215730270875168656228359490529223312216985671932391981524613450638600086013391799371096585535496388608.000	-0.182	51163111126084163016727571523413756221755966357504.000	0.00000	*
P09382	36500000	36900000	32700000	19100000	16400000	17500000	inf	-0.695	66706010498047368809603807208305298849525770747904.000	0.00000	
P09651	983260	981410	1005400	647380	543760	649190	29406721812091800624398665940659876498666702125823481368412615015416341474800388663786418027516284644541779551452506872234605731972939984747264532449272243616220859980320414099857991435256230849492992956480326953113599629734250725371286110373733750055161623868342272.000	-0.499	145214467514018957989089640448.000	0.00000	
P11142	12800000	12400000	16900000	12200000	10500000	9269400	inf	-0.269	66666666671640978681937234509850693188308319600640.000	0.00000	*
P11586	809000	1529900	1314500	0	565790	0	inf	-6.888	49999999999999432662230481714904363292886271262720.000	0.00000	
P12273	0	0	0	0	0	0	1.000	0.025	0.032	1.00000	
